City,Type,Area,Price,Purpose,Location,Built in year,Bedrooms,Bathrooms,price,Area_sqft,price_category,property_age_group,price_per_sqft,region
karachi,flat,96 Sq. Yd.,"PKR
70 Lakh",For Sale,"Gadap Town, Karachi, Sindh",,2.0,2.0,7000000.0,864.0,Low,,8101.851851851852,Sindh
karachi,upper portion,240 Sq. Yd.,"PKR
3.3 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",,3.0,3.0,33000000.0,2160.0,Mid,,15277.777777777777,Sindh
karachi,flat,133 Sq. Yd.,"PKR
3.8 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,1.0,3.0,38000000.0,1197.0,Mid,New,31746.031746031746,Sindh
karachi,flat,294 Sq. Yd.,"PKR
10 Crore",For Sale,"DHA Defence, Karachi, Sindh",2022.0,4.0,6.0,100000000.0,2646.0,High,New,37792.894935752076,Sindh
karachi,house,500 Sq. Yd.,"PKR
12.5 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2016.0,6.0,6.0,125000000.0,4500.0,High,New,27777.777777777777,Sindh
karachi,house,152 Sq. Yd.,"PKR
1.65 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2020.0,3.0,3.0,16500000.0,1368.0,Mid,New,12061.40350877193,Sindh
karachi,flat,200 Sq. Yd.,"PKR
3.6 Crore",For Sale,"Dalmia Cement Factory Road, Karachi, Sindh",2024.0,3.0,4.0,36000000.0,1800.0,Mid,New,20000.0,Sindh
karachi,flat,210 Sq. Yd.,"PKR
2.7 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2025.0,3.0,3.0,27000000.0,1890.0,Mid,New,14285.714285714286,Sindh
karachi,flat,230 Sq. Yd.,"PKR
3 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2024.0,3.0,3.0,30000000.0,2070.0,Mid,New,14492.753623188406,Sindh
karachi,flat,267 Sq. Yd.,"PKR
8.25 Crore",For Sale,"Bath Island, Karachi, Sindh",,4.0,4.0,82500000.0,2403.0,High,,34332.084893882646,Sindh
karachi,flat,511 Sq. Yd.,"PKR
10 Crore",For Sale,"Clifton, Karachi, Sindh",2024.0,5.0,6.0,100000000.0,4599.0,High,New,21743.857360295715,Sindh
karachi,flat,333 Sq. Yd.,"PKR
10.5 Crore",For Sale,"Clifton, Karachi, Sindh",2025.0,4.0,6.0,105000000.0,2997.0,High,New,35035.035035035035,Sindh
karachi,house,250 Sq. Yd.,"PKR
6 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",,,,60000000.0,2250.0,High,,26666.666666666668,Sindh
karachi,flat,244 Sq. Yd.,"PKR
6 Crore",For Sale,"Bath Island, Karachi, Sindh",2024.0,3.0,4.0,60000000.0,2196.0,High,New,27322.4043715847,Sindh
karachi,flat,356 Sq. Yd.,"PKR
10.4 Crore",For Sale,"Bath Island, Karachi, Sindh",2025.0,4.0,6.0,104000000.0,3204.0,High,New,32459.425717852686,Sindh
karachi,flat,256 Sq. Yd.,"PKR
6.65 Crore",For Sale,"Bath Island, Karachi, Sindh",2023.0,3.0,4.0,66500000.0,2304.0,High,New,28862.847222222223,Sindh
karachi,flat,467 Sq. Yd.,"PKR
7.1 Crore",For Sale,"Clifton, Karachi, Sindh",2022.0,4.0,6.0,71000000.0,4203.0,High,New,16892.695693552225,Sindh
karachi,flat,111 Sq. Yd.,"PKR
3.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",,1.0,2.0,35000000.0,999.0,Mid,,35035.035035035035,Sindh
karachi,flat,117 Sq. Yd.,"PKR
1.32 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2015.0,2.0,2.0,13200000.0,1053.0,Mid,Moderate,12535.612535612536,Sindh
karachi,house,500 Sq. Yd.,"PKR
23.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,6.0,5.0,235000000.0,4500.0,Luxury,New,52222.22222222222,Sindh
karachi,house,"1,000 Sq. Yd.","PKR
42 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,6.0,6.0,420000000.0,9000.0,Luxury,New,46666.666666666664,Sindh
karachi,house,"1,000 Sq. Yd.","PKR
35 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,6.0,6.0,350000000.0,9000.0,Luxury,New,38888.88888888889,Sindh
karachi,house,120 Sq. Yd.,"PKR
98 Lakh",For Sale,"Malir, Karachi, Sindh",2024.0,3.0,3.0,9800000.0,1080.0,Low,New,9074.074074074075,Sindh
